file	genre	character_count	entities	entity_mentions	fillers	relations	relation_mentions	hoppers	event_mentions
9a7a5efe1b72bc5d51dda67542aa356f	multi_post	1029	48	128	11	24	32	15	17
9b4c2d393e3985c330872b78c570deff	multi_post	1016	42	146	12	31	49	15	20
9b6c1f3f9d41c1ab8e0006307f8e81b6	multi_post	838	33	96	12	21	28	11	16
9b74fe9e01abc718070f2c5a316ccd11	multi_post	920	53	102	1	25	33	3	3
9bc40123d3368ce91ad5b6bca0c80650	multi_post	817	35	113	2	18	35	8	10
9dd912ff91c1c0bb2664484e48e63477	multi_post	154	16	26	3	2	2	4	4
9ea60bf29eb221bd307e433b33dbb5e5	multi_post	704	33	87	2	11	13	3	3
9fe5b474c068e90ce2791cc91c6dea58	multi_post	556	29	51	0	9	14	1	3
a23d1887530795c1b020b2522f257e78	multi_post	577	20	34	0	1	1	3	3
a63445626bc1d10117059d184e2b7882	multi_post	908	24	51	2	7	8	2	4
a63970c417da63eda14112ace81c615e	multi_post	957	22	102	3	10	11	6	9
a66a9c906b25b387d7e316c417df0bee	multi_post	976	52	93	7	28	32	0	0
a7b4c26c71f7342c0c5a041a2d08b1ae	multi_post	1033	33	105	7	18	25	8	9
a8b1292c8b26f6b79bd5970fe0da3f2b	multi_post	998	37	86	7	7	7	10	14
a933782fa8700dff52aa0b9c8fc02152	multi_post	972	38	68	3	9	9	2	2
aa353e320ed0f65bf94eab208b9a05ee	multi_post	640	32	49	0	6	8	1	4
ab1060059416f282b31a184980beb440	multi_post	405	24	34	1	5	5	2	2
ab5ebccb898750b827aa80922a5c208a	multi_post	301	18	28	0	6	6	3	3
ad0113e6caeec57e18bac0f171956ebd	multi_post	941	32	47	1	8	9	6	6
ade677a610f991837e45f0b86ed23780	multi_post	869	33	89	12	8	9	13	19
af33796d842e2f7ef63e848a88fa8fe0	multi_post	1230	39	141	2	25	45	8	12
af3e68c8c6dbf20adebbc436a8315293	multi_post	359	30	55	1	18	20	2	2
af5577ee5ceaf10898dc18530815b580	multi_post	569	33	65	0	6	7	5	7
b0b8b12300822eaa5c245a73b4f0d631	multi_post	673	32	97	2	25	29	16	18
b116f8d5a478ce789d2d48f6d3d38b84	multi_post	699	30	56	5	4	5	4	5
b14a11ad9f858a095903b6f2ff638123	multi_post	369	19	29	0	4	4	1	1
b24d6ae8366fe2b8a43aeda958be0eec	multi_post	983	26	91	14	11	19	11	12
b41f98a1d0d7e92a662902b095c72012	multi_post	443	30	60	6	16	20	7	12
b4c15b752993b279bca4fd7dbeaea7ee	multi_post	990	63	119	0	11	14	6	9
b626e11ff5aeea1d3bc10a0e837f5477	multi_post	1018	40	96	5	22	25	12	14
b76f0579384bbcabc5eb9db308b4197c	multi_post	297	23	39	0	6	6	2	2
bd05ba10a9940f4004423e34f3e4b2ef	multi_post	1038	31	117	8	14	32	11	24
bd461b281184f662f6d5f63a726a5bf0	multi_post	732	53	83	3	7	9	4	4
bff3535d87f5afb66547107e95ec99fc	multi_post	600	28	92	14	33	45	7	10
c12080d4c533e1e06550abf37f2f600f	multi_post	912	64	137	2	9	11	14	14
c40f8e935814ff92e896b3ed2b6024fd	multi_post	866	52	97	0	16	17	7	15
c600ae5813e30aa3315d93293fc883eb	multi_post	979	38	76	3	10	10	6	6
c63115100a30046c543a949421aba72c	multi_post	742	42	90	2	6	7	7	9
c81d9344eb93214e69836d7d75ff2c27	multi_post	1737	54	217	4	20	29	8	14
c8b4fe5724afc607da421d343fb3da00	multi_post	604	49	78	0	7	8	5	7
c8fee30e2493ddd90cf88e09dfb878ac	multi_post	777	21	43	0	5	5	1	1
c92dadccd323c379293108a4255d1791	multi_post	965	33	77	11	8	10	12	16
ca34e19a7b70659f11751c4a2a6330c4	multi_post	860	47	113	2	7	8	1	2
cb8d59cad23d0b887c3d950e5bff47a2	multi_post	771	53	104	4	23	27	5	8
cc8e124c2a1be332c6dec759ee0e6cb6	multi_post	463	26	67	3	9	11	5	6
cd7e271886b5c024d7972ed090c86e11	multi_post	762	20	96	5	7	14	7	10
cecfb5e8414297cd101cde8b48fbac06	multi_post	984	38	109	3	15	16	7	9
d095a794c61bfb90e48c99580010eb10	multi_post	987	28	57	2	14	15	1	1
d0ad8d7a742180d5c351a4a000fa6c43	multi_post	946	48	114	13	11	15	19	21
d136d350ce98285b5b2a7e3447855993	multi_post	1030	29	56	0	1	1	4	4
d1513bf6d636ac7f53d3197bc330e6e2	multi_post	286	17	39	7	9	15	14	16
d1ecf1650d1879216361b8d794044123	multi_post	398	14	41	0	5	8	1	1
d236d432274c73cfd5e31aa4ac3253e5	multi_post	714	20	36	2	3	3	4	4
d249c8a33583121239d1f7e579a948d5	multi_post	250	17	35	0	7	8	2	2
d266b06a4d7fed8fa85d7092cce3ffd0	multi_post	979	41	73	2	5	7	5	5
d2791182467a1b9c54d2738c6aa47e8f	multi_post	277	16	26	4	6	6	5	8
d2843717ddf94dd2c5759b01f178fe81	multi_post	311	19	37	1	3	3	2	2
d334f164dff43e16d06a70fdc4db4a98	multi_post	1033	37	112	3	10	19	9	16
d54be521680f5257daeb9e9baf21404e	multi_post	494	23	62	0	10	11	8	15
d5934874f2ac83882a1e401033429e52	multi_post	637	38	96	7	9	15	12	15
d60ac0666698435ff8098c48fdcf4393	multi_post	168	13	20	0	0	0	1	1
d63d96a115bd23a7210f9a1db4a5ddd6	multi_post	577	30	75	3	9	10	8	13
d66d187a992feea9daa15dd189d5510f	multi_post	763	26	56	13	15	19	2	2
d67ff302e91bd9d895c4ba485a71b8b6	multi_post	483	23	56	3	6	9	1	1
d70cfa3aa3e7ad439bc78b0138a7bf90	multi_post	425	30	74	2	5	7	5	5
db421d46d0bad11aff1f32a62214a00f	multi_post	384	13	28	1	1	1	1	1
dba623acb0a6ec4f078a4ec683a148a3	multi_post	368	31	56	2	2	2	7	7
dc6d275afe5c41f2124fc8ac7cf4bdbf	multi_post	925	28	86	2	11	11	3	3
dc82da46a3e28dee74e36ebea48d48df	multi_post	976	22	68	1	2	6	3	5
dcd56cca40fbd1102349a54b839fe8d3	multi_post	331	22	44	0	9	9	1	1
de266e61ad1590259bfd813710023747	multi_post	489	39	61	5	13	16	6	7
de7d34d12416fb15496dada6d10fa753	multi_post	877	55	118	0	9	11	5	5
de98f519af018b4a7fa473ca324ccb49	multi_post	987	93	195	5	55	62	12	12
dff2127764a09cf49312501bc9a6a542	multi_post	198	17	26	1	4	6	2	2
e14c2ee2b24359ec2f29d8e99ac678a9	multi_post	944	50	87	11	12	15	13	15
e2b232e4f4fe9b1ea65576e4d1759b8a	multi_post	640	36	60	2	8	8	5	5
e35be9f0527857f29c4b6e30d06a3fd6	multi_post	938	23	105	0	5	5	11	30
e373244f092e9c849c3b942ceaf926f3	multi_post	929	73	150	1	18	23	5	6
e409ef20ed3e0b88b617033f0afb84f4	multi_post	325	24	49	1	4	4	3	4
e4b32290e370989b3ac4c04e37407d63	multi_post	596	28	81	4	2	2	17	19
e5721d960dbf930fb69c42a0480b176a	multi_post	873	45	113	4	15	16	13	18
e58a6e1c75ddad2d5ec3b5ce1100f7be	multi_post	614	29	51	1	9	11	2	2
ecef17488f170cb593476de45a2c7caa	multi_post	708	37	107	4	4	4	14	23
f147ad66d79f122ace902c1be0d1dbab	multi_post	1029	27	116	26	10	22	9	17
f3ba939b82f5ce24659c8abae87a6373	multi_post	406	25	52	1	12	14	4	4
f40a98a10da91cdab5b4dafa80a69ae2	multi_post	1014	67	135	2	15	21	4	5
f47dc3302a1bd63c0acd90b43c67beed	multi_post	1001	37	65	0	11	11	4	4
f53cc69d998d9f46c9e63d5328fc06e6	multi_post	529	17	30	4	6	6	3	3
f5e8eb0c361096043bc229cd9da4b594	multi_post	621	28	60	0	6	6	1	1
f769381c0699a52a72891c6ee0a244b7	multi_post	441	47	72	2	16	17	7	8
fb722b76bf66d8e412b4792a8c572b73	multi_post	589	30	55	3	15	20	4	4
fdae29d75ddafa0eeb76e9979d776901	multi_post	895	13	87	1	4	6	6	13
