docid	thread_id	start_post_id	end_post_id
61abd3f28e84e0db39ea8842bd270d92	11213	p1	p18
61be78fbc84b7b5b7477f3dff96893dc	9516	p3	p57
62d5a4d0ffb1fa9ce93b47383ca398fc	9592	p88	p157
688fda26b762dd5997a57f944242b302	11249	p2	p40
6d3684f78f06945345258c21520fb364	11260	p1	p15
6f5d70deacca5e2c8ba2f538af97372c	11119	p1	p1
6f9aa7629020cb148796a8d123bcd175	9515	p1	p8
708f7ef00d96f2d67b4eda0b65dfe99e	9474	p4	p47
71b86b422aaaa787c03a40799a8fff64	11271	p3	p11
75f7808076b6b373930154e96b30c884	9475	p4	p43
774e73c2b221f77b79b5ac469f5aa0df	11201	p26	p38
777b4893fa1d87d17527917c3fd41503	9606	p2	p55
7831ee6dedea69ba8d801315136d20ae	11268	p48	p57
78c2d2e61faf9ee71c7366879011b454	9617	p3	p15
7986c04dd08f82c7433836b09156e5fb	9511	p1	p14
7a57c70f7379ebe230537922a5c5bb8d	11315	p1	p6
7abc438d61ea07d1db4817b5329725f7	11323	p1	p7
7d75ad05790d41ed3ef6b8f19d446dba	11278	p1	p22
7e1a826be29fec85edb7a07954fc8036	11259	p1	p7
7e46661e3fbb52c8f1b8d44ff9ac2599	11167	p1	p20
7ef619845a995c11965c981bb1ad3976	11369	p17	p60
7f838683ab08237a89dc7274ead34ff1	11129	p1	p55
836b51c735eb3b626790b54d3be18b59	11295	p1	p5
85e9fb7cfc5761e43bd8ca5c41f3f014	9603	p23	p94
864d786c7ac8d043a63bf4a9705dc8ad	11375	p7	p45
86d12ccef594e0dcc960390fff04e360	9733	p1	p1
86dfa5559291cb3cf092dd72fd337585	11365	p1	p4
894cf3d8d142a17e5cf233f555c5cb3a	11256	p2	p19
8b2dcbea62e306e894f8c16769a88986	9549	p1	p46
8b3ad1c3ca12f32c60e3973d72ec491f	11254	p12	p60
8bf9b607a0d55bc951f77d5870afe334	9495	p1	p6
8c8a7c7cc5e82caa27033e3cbc34fe5a	9504	p1	p6
8ee6648bd17c7b6c4b497bf54caad602	11368	p1	p3
91606054d86298f2026068efa2df0b72	11234	p2	p19
96502b38a8bd633f2c2e6143bf3bb24f	11263	p2	p42
97d938dd834a2e4bd497ee103cded9bc	11270	p4	p23
9982e40c957b759b371f3d4b30cc6005	11354	p1	p2
9a7a5efe1b72bc5d51dda67542aa356f	11216	p1	p25
9b4c2d393e3985c330872b78c570deff	9708	p1	p1
9b6c1f3f9d41c1ab8e0006307f8e81b6	9712	p1	p1
9b74fe9e01abc718070f2c5a316ccd11	9478	p1	p96
9bc40123d3368ce91ad5b6bca0c80650	11350	p1	p13
9dd912ff91c1c0bb2664484e48e63477	11337	p9	p14
9ea60bf29eb221bd307e433b33dbb5e5	11362	p1	p9
9fe5b474c068e90ce2791cc91c6dea58	11331	p2	p21
a23d1887530795c1b020b2522f257e78	11175	p2	p16
a63445626bc1d10117059d184e2b7882	11192	p1	p4
a63970c417da63eda14112ace81c615e	9513	p1	p13
a66a9c906b25b387d7e316c417df0bee	11381	p1	p10
a7b4c26c71f7342c0c5a041a2d08b1ae	11163	p1	p13
a8b1292c8b26f6b79bd5970fe0da3f2b	9581	p1	p1
a933782fa8700dff52aa0b9c8fc02152	9514	p1	p52
aa353e320ed0f65bf94eab208b9a05ee	11372	p1	p15
ab1060059416f282b31a184980beb440	11172	p1	p40
ab5ebccb898750b827aa80922a5c208a	11340	p7	p8
ad0113e6caeec57e18bac0f171956ebd	11208	p1	p5
ade677a610f991837e45f0b86ed23780	10915	p34	p141
af33796d842e2f7ef63e848a88fa8fe0	11087	p1	p5
af3e68c8c6dbf20adebbc436a8315293	9541	p1	p8
af5577ee5ceaf10898dc18530815b580	11281	p2	p21
b0b8b12300822eaa5c245a73b4f0d631	11137	p23	p31
b116f8d5a478ce789d2d48f6d3d38b84	9534	p2	p13
b14a11ad9f858a095903b6f2ff638123	11242	p12	p21
b24d6ae8366fe2b8a43aeda958be0eec	9505	p1	p4
b41f98a1d0d7e92a662902b095c72012	9602	p4	p28
b4c15b752993b279bca4fd7dbeaea7ee	9484	p2	p32
b626e11ff5aeea1d3bc10a0e837f5477	9512	p1	p21
b76f0579384bbcabc5eb9db308b4197c	9518	p6	p14
b9613b440f516dc87f29eaf762ef08ee	11154	p1	p22
bd05ba10a9940f4004423e34f3e4b2ef	9742	p1	p3
bd461b281184f662f6d5f63a726a5bf0	11313	p4	p22
bff3535d87f5afb66547107e95ec99fc	11122	p1	p1
c12080d4c533e1e06550abf37f2f600f	11336	p2	p18
c40f8e935814ff92e896b3ed2b6024fd	11244	p2	p51
c600ae5813e30aa3315d93293fc883eb	11073	p1	p1
c63115100a30046c543a949421aba72c	9466	p4	p52
c81d9344eb93214e69836d7d75ff2c27	9604	p1	p63
c8b4fe5724afc607da421d343fb3da00	11248	p5	p31
c8fee30e2493ddd90cf88e09dfb878ac	9718	p1	p1
c92dadccd323c379293108a4255d1791	9476	p8	p39
ca34e19a7b70659f11751c4a2a6330c4	9477	p2	p42
cb8d59cad23d0b887c3d950e5bff47a2	11125	p1	p19
cc8e124c2a1be332c6dec759ee0e6cb6	11203	p1	p8
cd7e271886b5c024d7972ed090c86e11	11326	p11	p33
cecfb5e8414297cd101cde8b48fbac06	11359	p1	p4
d095a794c61bfb90e48c99580010eb10	11303	p1	p1
d0ad8d7a742180d5c351a4a000fa6c43	9471	p21	p47
d136d350ce98285b5b2a7e3447855993	9551	p1	p7
d1513bf6d636ac7f53d3197bc330e6e2	9695	p1	p1
d1ecf1650d1879216361b8d794044123	9510	p78	p85
d236d432274c73cfd5e31aa4ac3253e5	9689	p1	p1
d249c8a33583121239d1f7e579a948d5	11267	p40	p42
d266b06a4d7fed8fa85d7092cce3ffd0	11373	p1	p18
d2791182467a1b9c54d2738c6aa47e8f	11290	p1	p3
d2843717ddf94dd2c5759b01f178fe81	11286	p2	p11
d334f164dff43e16d06a70fdc4db4a98	11254	p1	p9
d54be521680f5257daeb9e9baf21404e	9513	p26	p38
d5934874f2ac83882a1e401033429e52	11230	p1	p11
d60ac0666698435ff8098c48fdcf4393	11261	p1	p4
d63d96a115bd23a7210f9a1db4a5ddd6	9494	p1	p12
d66d187a992feea9daa15dd189d5510f	11007	p1	p1
d67ff302e91bd9d895c4ba485a71b8b6	9526	p10	p14
d70cfa3aa3e7ad439bc78b0138a7bf90	9587	p2	p18
db421d46d0bad11aff1f32a62214a00f	9706	p1	p2
dba623acb0a6ec4f078a4ec683a148a3	9484	p33	p42
dc6d275afe5c41f2124fc8ac7cf4bdbf	9520	p1	p10
dc82da46a3e28dee74e36ebea48d48df	11374	p1	p8
dcd56cca40fbd1102349a54b839fe8d3	11335	p1	p7
de266e61ad1590259bfd813710023747	11283	p38	p46
de7d34d12416fb15496dada6d10fa753	11274	p2	p39
de98f519af018b4a7fa473ca324ccb49	9496	p1	p16
dff2127764a09cf49312501bc9a6a542	9527	p1	p12
e14c2ee2b24359ec2f29d8e99ac678a9	9469	p1	p77
e2b232e4f4fe9b1ea65576e4d1759b8a	9754	p3	p13
e35be9f0527857f29c4b6e30d06a3fd6	10897	p43	p81
e373244f092e9c849c3b942ceaf926f3	11185	p1	p39
e409ef20ed3e0b88b617033f0afb84f4	11394	p3	p49
e4b32290e370989b3ac4c04e37407d63	10897	p82	p144
e5721d960dbf930fb69c42a0480b176a	9528	p1	p25
e58a6e1c75ddad2d5ec3b5ce1100f7be	11227	p51	p60
e6acc125e7cb6fb87c7bce9c002db08b	9717	p1	p1
ecef17488f170cb593476de45a2c7caa	9511	p18	p92
f147ad66d79f122ace902c1be0d1dbab	10915	p2	p33
f3ba939b82f5ce24659c8abae87a6373	11222	p1	p11
f40a98a10da91cdab5b4dafa80a69ae2	11227	p2	p50
f47dc3302a1bd63c0acd90b43c67beed	9743	p1	p1
f53cc69d998d9f46c9e63d5328fc06e6	11164	p14	p30
f5e8eb0c361096043bc229cd9da4b594	11157	p1	p13
f769381c0699a52a72891c6ee0a244b7	11344	p1	p9
fa1c4bdc957b71655fba1f4433686cbc	11229	p1	p10
fb722b76bf66d8e412b4792a8c572b73	9615	p1	p1
fdae29d75ddafa0eeb76e9979d776901	9709	p1	p1
