presidente de los Estados Unidos	SPA_NW_001375_20150622_F0010003M:5694-5725	m.060d2	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:478-487	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:564-573	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:853-862	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:1217-1226	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:2114-2123	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:2262-2271	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:3090-3099	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:3451-3460	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150328_F0010002N:253-262	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150328_F0010002N:657-666	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150328_F0010002N:1112-1121	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150328_F0010002N:1718-1727	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150328_F0010002N:2315-2324	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150328_F0010002N:2772-2781	m.06zrg5s	ORG
Boko Haram	SPA_DF_001258_20140512_F001000BC:356-365	m.06zrg5s	ORG
Boko Haram	SPA_DF_001258_20140512_F001000BC:816-825	m.06zrg5s	ORG
Boko Haram	SPA_DF_001258_20140505_F001000CC:128-137	m.06zrg5s	ORG
BOKO HARAM	SPA_DF_000404_20140614_F001000BW:94-103	m.06zrg5s	ORG
Parlamento Europeo	SPA_DF_000386_20150713_F0010007S:7788-7805	m.02m0v	ORG
Parlamento Europeo	SPA_DF_001502_20150711_F001000BV:5806-5823	m.02m0v	ORG
Parlamento Europeo	SPA_DF_001502_20150711_F001000BV:7742-7759	m.02m0v	ORG
la iglesia	SPA_DF_000404_20150619_F001000AT:110-119	m.02vxy_	ORG
la iglesia	SPA_NW_001458_20150620_F0010004E:509-518	m.02vxy_	ORG
la iglesia	SPA_NW_001456_20150707_F0010004B:1375-1384	m.02vxy_	ORG
la iglesia	SPA_NW_001453_20150623_F00100047:3073-3082	m.02vxy_	ORG
la Iglesia	SPA_NW_001454_20150719_F00100049:2514-2523	m.02vxy_	ORG
la iglesia	SPA_NW_001457_20150623_F0010004D:385-394	m.02vxy_	ORG
la iglesia	SPA_NW_001458_20150620_F0010004F:2099-2108	m.02vxy_	ORG
la iglesia	SPA_NW_001459_20150620_F0010004J:1716-1725	m.02vxy_	ORG
la Iglesia	SPA_NW_001096_20150615_F0010003P:2569-2578	m.02vxy_	ORG
Edward Snowden	SPA_NW_001461_20140602_F0010004O:425-438	m.0vzv0rq	PER
Edward Snowden	SPA_NW_001461_20140602_F0010004O:875-888	m.0vzv0rq	PER
Edward Snowden	SPA_NW_001451_20150603_F00100044:1710-1723	m.0vzv0rq	PER
Edward Snowden	SPA_DF_001258_20140408_F001000C8:321-334	m.0vzv0rq	PER
Edward Snowden	SPA_NW_001460_20150602_F0010004L:2239-2252	m.0vzv0rq	PER
Edward Snowden	SPA_NW_001451_20150625_F00100045:819-832	m.0vzv0rq	PER
Nueva York	SPA_NW_001361_20150429_F0010002G:1836-1845	m.02_286	GPE
Nueva York	SPA_DF_001258_20150727_F001000BA:1150-1159	m.02_286	GPE
Nueva York	SPA_DF_001258_20150727_F001000BA:4549-4558	m.02_286	GPE
Nueva York	SPA_NW_001117_20150613_F0010003N:777-786	m.02_286	GPE
Nueva York	SPA_NW_001367_20150529_F0010002R:471-480	m.02_286	GPE
Nueva York	SPA_NW_001376_20150602_F00100037:515-524	m.02_286	GPE
Nueva York	SPA_NW_001078_20150602_F00100039:2635-2644	m.02_286	GPE
Nueva York	SPA_NW_001360_20150709_F0010002E:4074-4083	m.02_286	GPE
Nueva York	SPA_NW_001442_20150420_F0010003E:4135-4144	m.02_286	GPE
Nueva York	SPA_NW_001078_20150528_F0010003A:4469-4478	m.02_286	GPE
Relaciones Exteriores	SPA_NW_001450_20150626_F00100041:517-537	m.02qh6rs	ORG
Hong Kong	SPA_DF_000386_20150708_F0010007Z:5050-5058	m.03h64	GPE
Hong Kong	SPA_DF_000386_20150708_F0010007Z:6795-6803	m.03h64	GPE
Hong Kong	SPA_NW_001374_20150708_F00100034:3326-3334	m.03h64	GPE
Wall street	SPA_DF_001258_20150727_F001000BA:495-505	m.09937	FAC
Wall Street	SPA_DF_001258_20150727_F001000BA:1069-1079	m.09937	FAC
Wall Street	SPA_DF_001258_20150727_F001000BA:4468-4478	m.09937	FAC
La Habana	SPA_NW_001123_20150615_F0010003O:1140-1148	m.0d6hn	GPE
La Habana	SPA_DF_001258_20140123_F001000BK:3323-3331	m.0d6hn	GPE
Barbara Bush	SPA_NW_001096_20150615_F0010003P:2133-2144	m.015nr6	PER
América Latina	SPA_DF_001258_20150628_F001000CJ:8259-8272	m.04pnx	LOC
Estado Islámico	SPA_NW_001449_20150626_F0010003Y:404-418	m.027x630	ORG
Estado Islámico	SPA_NW_001449_20150626_F0010003Y:799-813	m.027x630	ORG
Estado Islámico	SPA_NW_001449_20150626_F0010003Y:1294-1308	m.027x630	ORG
Estado Islámico	SPA_NW_001449_20150626_F0010003Y:1397-1411	m.027x630	ORG
Estado Islámico	SPA_NW_001449_20150626_F0010003Y:1527-1541	m.027x630	ORG
Estado Islámico	SPA_NW_001450_20150626_F00100041:958-972	m.027x630	ORG
Estado Islámico	SPA_DF_001258_20150627_F001000B8:1306-1320	m.027x630	ORG
Estado islámico	SPA_NW_001363_20150804_F0010002K:1203-1217	m.027x630	ORG
Estado Islámico	SPA_NW_001113_20150626_F00100043:405-419	m.027x630	ORG
Estado Islámico	SPA_NW_001113_20150626_F00100043:4123-4137	m.027x630	ORG
Estado Islámico	SPA_NW_001368_20150108_F0010002T:2480-2494	m.027x630	ORG
Estado Islámico	SPA_NW_001368_20150108_F0010002T:2680-2694	m.027x630	ORG
Estado Islámico	SPA_NW_001368_20150108_F0010002T:4423-4437	m.027x630	ORG
Estado Islámico	SPA_NW_001368_20150108_F0010002T:4483-4497	m.027x630	ORG
Estado Islámico	SPA_NW_001449_20150627_F0010003X:3029-3043	m.027x630	ORG
Muhammadu Buhari	SPA_NW_001364_20150414_F0010002M:1586-1601	m.02p45h	PER
Muhammadu Buhari	SPA_NW_001366_20150622_F0010002Q:1538-1553	m.02p45h	PER
Al Qaeda	SPA_DF_001251_20141001_F00100080:2997-3004	m.0v74	ORG
Jack Warner	SPA_NW_001078_20150602_F00100039:1300-1310	m.074byn	PER
Jack Warner	SPA_NW_001376_20150602_F00100037:1995-2005	m.074byn	PER
Jack Warner	SPA_NW_001376_20150603_F00100038:623-633	m.074byn	PER
Jack Warner	SPA_DF_000386_20150527_F0010007L:2289-2299	m.074byn	PER
Jack Warner	SPA_NW_001078_20150528_F0010003A:3308-3318	m.074byn	PER
Jack Warner	SPA_DF_000404_20150530_F001000C5:6138-6148	m.074byn	PER
Papa Francisco	SPA_NW_001451_20150625_F00100045:2692-2705	m.05ngt2	PER
ALEMANIA NAZI	SPA_DF_001258_20150626_F001000CD:1577-1589	m.059z0	GPE
ALEMANIA NAZI	SPA_DF_001258_20150627_F001000C6:4771-4783	m.059z0	GPE
Goodluck Jonathan	SPA_NW_001364_20150328_F0010002N:3586-3602	m.098v21	PER
Goodluck Jonathan	SPA_NW_001365_20141018_F0010002P:2568-2584	m.098v21	PER
Jorge Rodríguez	SPA_DF_001258_20140123_F001000BK:1930-1944	m.027h_8g	PER
sierra leona	SPA_DF_000386_20150505_F0010007M:2304-2315	m.06s_2	GPE
sierra leona	SPA_DF_000386_20150505_F0010007M:3294-3305	m.06s_2	GPE
sierra leona	SPA_DF_000386_20150505_F0010007M:4928-4939	m.06s_2	GPE
Barack Obama	SPA_NW_001465_20150602_F0010004P:724-735	m.02mjmr	PER
Barack Obama	SPA_NW_001455_20150627_F0010004A:512-523	m.02mjmr	PER
Barack Obama	SPA_NW_001451_20150603_F00100044:454-465	m.02mjmr	PER
Barack Obama	SPA_NW_001445_20150729_F0010003K:878-889	m.02mjmr	PER
Barack Obama	SPA_NW_001456_20150623_F0010004C:1753-1764	m.02mjmr	PER
Barack Obama	SPA_NW_001117_20150613_F0010003N:1771-1782	m.02mjmr	PER
Barack Obama	SPA_NW_001459_20150620_F0010004J:2346-2357	m.02mjmr	PER
Barack Obama	SPA_NW_001375_20150622_F0010003M:487-498	m.02mjmr	PER
Barack Obama	SPA_NW_001375_20150622_F0010003M:1575-1586	m.02mjmr	PER
Barack Obama	SPA_NW_001453_20150623_F00100047:2175-2186	m.02mjmr	PER
Barack Obama	SPA_NW_001460_20150602_F0010004L:1964-1975	m.02mjmr	PER
Financial Times	SPA_NW_001442_20150420_F0010003E:1406-1420	m.0108kc	ORG
Angela Merkel	SPA_NW_001451_20150625_F00100045:2485-2497	m.0jl0g	PER
Angela Merkel	SPA_DF_001258_20150628_F001000CJ:10231-10243	m.0jl0g	PER
Nicolas Sarkozy	SPA_NW_001460_20150624_F0010004M:849-863	m.02ps9k	PER
Nicolas Sarkozy	SPA_NW_001460_20150624_F0010004M:2201-2215	m.02ps9k	PER
Nicolas Sarkozy	SPA_NW_001113_20150626_F00100043:4626-4640	m.02ps9k	PER
Nicolas Sarkozy	SPA_NW_001451_20150625_F00100045:598-612	m.02ps9k	PER
Rand Paul	SPA_NW_001075_20150615_F0010003L:1640-1648	m.05pdb7q	PER
Rand Paul	SPA_NW_001123_20150615_F0010003O:1757-1765	m.05pdb7q	PER
Rand Paul	SPA_NW_001460_20150602_F0010004L:2690-2698	m.05pdb7q	PER
Alexis Tsipras	SPA_DF_001258_20150628_F001000CJ:3817-3830	m.03nqlcz	PER
Alexis Tsipras	SPA_DF_001258_20150628_F001000CJ:7945-7958	m.03nqlcz	PER
Alexis Tsipras	SPA_DF_001258_20150628_F001000CJ:8294-8307	m.03nqlcz	PER
Alexis Tsipras	SPA_NW_001442_20150625_F0010003F:662-675	m.03nqlcz	PER
Alexis Tsipras	SPA_DF_001502_20150711_F001000BV:1767-1780	m.03nqlcz	PER
Alexis Tsipras	SPA_DF_001502_20150711_F001000BV:3795-3808	m.03nqlcz	PER
Alexis Tsipras	SPA_DF_001502_20150711_F001000BV:11400-11413	m.03nqlcz	PER
Alexis Tsipras	SPA_DF_001502_20150711_F001000BV:15979-15992	m.03nqlcz	PER
Warner Bros	SPA_DF_000386_20150710_F0010007V:4585-4595	m.086k8	ORG
Warner Bros	SPA_DF_000386_20150710_F0010007V:6202-6212	m.086k8	ORG
Buenos Aires	SPA_NW_001122_20150724_F0010003B:1108-1119	m.01ly5m	GPE
Naciones Unidas	SPA_NW_001446_20150426_F0010003S:1801-1815	m.07t65	ORG
Tea Party	SPA_DF_001258_20150707_F001000CF:2583-2591	m.09v571r	ORG
Eric Holder	SPA_NW_001368_20150108_F0010002T:3920-3930	m.0465sdr	PER
Abraham Lincoln	SPA_DF_000386_20150710_F0010007V:7026-7040	m.0gzh	PER
Abraham Lincoln	SPA_DF_000386_20150710_F0010007V:7898-7912	m.0gzh	PER
Estados Unidos	SPA_NW_001455_20150627_F0010004A:431-444	m.09c7w0	GPE
Estados Unidos	SPA_NW_001455_20150627_F0010004A:919-932	m.09c7w0	GPE
Estados Unidos	SPA_NW_001455_20150627_F0010004A:1788-1801	m.09c7w0	GPE
Estados Unidos	SPA_NW_001455_20150627_F0010004A:2311-2324	m.09c7w0	GPE
Estados Unidos	SPA_NW_001461_20140602_F0010004O:410-423	m.09c7w0	GPE
Estados Unidos	SPA_NW_001461_20140602_F0010004O:859-872	m.09c7w0	GPE
Estados Unidos	SPA_NW_001461_20140602_F0010004O:1214-1227	m.09c7w0	GPE
Estados Unidos	SPA_NW_001361_20150429_F0010002G:705-718	m.09c7w0	GPE
Estados Unidos	SPA_NW_001361_20150429_F0010002G:1869-1882	m.09c7w0	GPE
