Athens Water Supply and Sewerage Company	ENG_NW_001436_20140731_F0010006P:9150-9189	m.012w3pq1	ORG
Al Qaeda in Iraq	ENG_NW_001396_20150109_F0010005A:1918-1933	m.02r3wy1	ORG
United States of America	ENG_DF_001220_20150621_F00100088:4512-4535	m.09c7w0	GPE
United States of America	ENG_DF_001220_20150621_F00100088:6758-6781	m.09c7w0	GPE
United States of America	ENG_DF_001220_20150621_F00100088:12974-12997	m.09c7w0	GPE
Horn of Africa	ENG_DF_001485_20150612_F001000E0:11550-11563	m.0gt8x	LOC
All Progressives Congress	ENG_DF_000380_20150606_F001000D0:333-357	m.0r4k3hv	ORG
the Huffington post	ENG_DF_000379_20150604_F001000D1:3347-3365	m.0hmrpgb	ORG
the Huffington post	ENG_DF_000379_20150604_F001000D1:5021-5039	m.0hmrpgb	ORG
The Huffington Post	ENG_DF_000379_20150604_F001000D1:6038-6056	m.0hmrpgb	ORG
The Huffington Post	ENG_DF_000379_20150604_F001000D1:7097-7115	m.0hmrpgb	ORG
the Huffington post	ENG_DF_000379_20150604_F001000D1:9757-9775	m.0hmrpgb	ORG
the Huffington post	ENG_DF_000379_20150604_F001000D1:11944-11962	m.0hmrpgb	ORG
International Monetary Fund	ENG_DF_001498_20150617_F0010008M:8373-8399	m.03y48	ORG
International Monetary Fund	ENG_DF_001498_20150617_F0010008M:12527-12553	m.03y48	ORG
International Monetary Fund	ENG_NW_001384_20150705_F0010004X:3101-3127	m.03y48	ORG
International Monetary Fund	ENG_NW_001404_20150717_F0010005K:3713-3739	m.03y48	ORG
International Monetary Fund	ENG_NW_001407_20150715_F0010005R:2738-2764	m.03y48	ORG
international monetary fund	ENG_DF_001219_20150712_F001000CU:253-279	m.03y48	ORG
International Monetary Fund	ENG_NW_001436_20140731_F0010006P:618-644	m.03y48	ORG
Osama bin Laden	ENG_NW_001398_20150710_F0010005D:7288-7303	m.05mg9	PER
Osama bin Laden	ENG_NW_001398_20150710_F0010005D:9035-9049	m.05mg9	PER
Osama bin Laden	ENG_NW_001398_20150710_F0010005D:9947-9961	m.05mg9	PER
Osama bin Laden	ENG_NW_001398_20150710_F0010005D:10113-10127	m.05mg9	PER
Osama bin Laden	ENG_NW_001398_20150710_F0010005D:11102-11116	m.05mg9	PER
Osama bin Laden	ENG_NW_001398_20150710_F0010005D:13410-13424	m.05mg9	PER
Freedom and Democracy	ENG_DF_001222_20150622_F001000DX:7027-7047	m.06w22tt	ORG
Freedom and Democracy	ENG_DF_001222_20150622_F001000DX:8173-8193	m.06w22tt	ORG
the United States	ENG_NW_001436_20150718_F0010006Q:645-661	m.09c7w0	GPE
the United States	ENG_NW_001436_20150718_F0010006Q:764-780	m.09c7w0	GPE
the United States	ENG_NW_001436_20150718_F0010006Q:1023-1039	m.09c7w0	GPE
the United States	ENG_NW_001436_20150718_F0010006Q:4386-4402	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:242-258	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:3461-3477	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:4997-5013	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:6627-6643	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:8454-8470	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:9942-9958	m.09c7w0	GPE
the United States	ENG_DF_000170_20150704_F001000CW:13299-13315	m.09c7w0	GPE
the United States	ENG_NW_001423_20150107_F0010006B:1959-1975	m.09c7w0	GPE
the United States	ENG_NW_001423_20150107_F0010006B:2388-2404	m.09c7w0	GPE
the United States	ENG_NW_001423_20150107_F0010006B:4198-4214	m.09c7w0	GPE
the United States	ENG_NW_001416_20150716_F00100062:3238-3254	m.09c7w0	GPE
the United States	ENG_NW_001416_20150716_F00100062:3483-3499	m.09c7w0	GPE
the United States	ENG_DF_001471_20150528_F001000D2:1181-1197	m.09c7w0	GPE
the United States	ENG_DF_001471_20150528_F001000D2:1916-1932	m.09c7w0	GPE
the United States	ENG_DF_001471_20150528_F001000D2:6096-6112	m.09c7w0	GPE
the United States	ENG_DF_001471_20150528_F001000D2:9064-9080	m.09c7w0	GPE
the United States	ENG_DF_001471_20150528_F001000D2:9658-9674	m.09c7w0	GPE
the United States	ENG_DF_001471_20150528_F001000D2:10926-10942	m.09c7w0	GPE
the United States	ENG_NW_001413_20150715_F0010005Z:848-864	m.09c7w0	GPE
the United States	ENG_NW_001413_20150715_F0010005Z:3921-3937	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:4703-4719	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:13933-13949	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:16616-16632	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:17696-17712	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:18213-18229	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:18710-18726	m.09c7w0	GPE
the United States	ENG_DF_001490_20150709_F00100087:19368-19384	m.09c7w0	GPE
the United States	ENG_DF_001220_20150621_F00100088:9411-9427	m.09c7w0	GPE
the United States	ENG_DF_001220_20150621_F00100088:9615-9631	m.09c7w0	GPE
The United States	ENG_DF_001485_20150612_F001000E0:4900-4916	m.09c7w0	GPE
the United States	ENG_DF_001485_20150612_F001000E0:12816-12832	m.09c7w0	GPE
the United States	ENG_DF_001485_20150612_F001000E0:13291-13307	m.09c7w0	GPE
the United States	ENG_DF_001485_20150612_F001000E0:14198-14214	m.09c7w0	GPE
the United States	ENG_DF_001485_20150612_F001000E0:14255-14271	m.09c7w0	GPE
the United States	ENG_NW_001426_20150624_F0010006E:3876-3892	m.09c7w0	GPE
the United States	ENG_DF_000249_20150527_F001000D5:3184-3200	m.09c7w0	GPE
the United States	ENG_DF_001235_20150624_F0010008S:938-954	m.09c7w0	GPE
the United States	ENG_NW_001400_20150714_F0010005F:4156-4172	m.09c7w0	GPE
the United States	ENG_NW_001463_20150720_F0010006Y:3706-3722	m.09c7w0	GPE
The United States	ENG_DF_001499_20130609_F0010008Q:19334-19350	m.09c7w0	GPE
The United States	ENG_DF_001499_20130609_F0010008Q:20157-20173	m.09c7w0	GPE
the United States	ENG_DF_001499_20130609_F0010008Q:22686-22702	m.09c7w0	GPE
the United States	ENG_DF_001499_20130609_F0010008Q:25400-25416	m.09c7w0	GPE
The United States	ENG_DF_001499_20130609_F0010008Q:25597-25613	m.09c7w0	GPE
The United States	ENG_DF_001499_20130609_F0010008Q:31579-31595	m.09c7w0	GPE
The United States	ENG_DF_001499_20130609_F0010008Q:32402-32418	m.09c7w0	GPE
the United States	ENG_DF_001499_20130609_F0010008Q:34931-34947	m.09c7w0	GPE
the United States	ENG_NW_001464_20150623_F00100070:1590-1606	m.09c7w0	GPE
the United States	ENG_NW_001381_20150623_F0010004U:497-513	m.09c7w0	GPE
the United States	ENG_NW_001440_20150709_F0010006V:3510-3526	m.09c7w0	GPE
the United States	ENG_NW_001379_20150428_F0010004S:870-886	m.09c7w0	GPE
the United States	ENG_DF_001206_20150601_F001000CP:1418-1434	m.09c7w0	GPE
the United States	ENG_DF_001206_20150601_F001000CP:3164-3180	m.09c7w0	GPE
the United States	ENG_DF_001478_20140226_F001000DB:6905-6921	m.09c7w0	GPE
the United States	ENG_DF_001478_20140226_F001000DB:11241-11257	m.09c7w0	GPE
the United States	ENG_DF_001478_20140226_F001000DB:13520-13536	m.09c7w0	GPE
the United States	ENG_NW_001396_20150109_F0010005A:5166-5182	m.09c7w0	GPE
the United States	ENG_DF_001206_20150709_F001000CO:9038-9054	m.09c7w0	GPE
the United States	ENG_NW_001428_20150527_F0010006G:3234-3250	m.09c7w0	GPE
the United States	ENG_DF_000317_20150528_F001000D6:5395-5411	m.09c7w0	GPE
the United States	ENG_DF_000317_20150528_F001000D6:5888-5904	m.09c7w0	GPE
the United States	ENG_DF_001222_20150602_F001000DL:21443-21459	m.09c7w0	GPE
the United States	ENG_DF_001222_20150602_F001000DL:28065-28081	m.09c7w0	GPE
the United States	ENG_DF_001222_20150602_F001000DL:30765-30781	m.09c7w0	GPE
The United States	ENG_DF_001219_20150712_F001000CU:6178-6194	m.09c7w0	GPE
the united states	ENG_DF_001219_20150712_F001000CU:9502-9518	m.09c7w0	GPE
the United States	ENG_NW_001382_20150619_F0010004V:11436-11452	m.09c7w0	GPE
the United States	ENG_DF_001482_20150705_F001000DK:1310-1326	m.09c7w0	GPE
the United States	ENG_DF_001472_20150527_F001000D3:11084-11100	m.09c7w0	GPE
the United States	ENG_NW_001398_20150710_F0010005D:1425-1441	m.09c7w0	GPE
Kathmandu International Airport	ENG_NW_001431_20150426_F0010006J:685-715	m.07kd55	FAC
Kathmandu International Airport	ENG_NW_001430_20150426_F0010006I:1152-1182	m.07kd55	FAC
New York Times	ENG_NW_001396_20150109_F0010005A:814-827	m.07l1c	ORG
New York Times	ENG_NW_001396_20150109_F0010005A:4635-4648	m.07l1c	ORG
New York Times	ENG_NW_001425_20150606_F0010006D:3579-3592	m.07l1c	ORG
New York Times	ENG_DF_001228_20150614_F001000DP:5351-5364	m.07l1c	ORG
New York Times	ENG_NW_001428_20150527_F0010006G:2368-2381	m.07l1c	ORG
New York Times	ENG_DF_001474_20150527_F001000D7:5710-5723	m.07l1c	ORG
New York Times	ENG_DF_001490_20150709_F00100087:5072-5085	m.07l1c	ORG
New York Times	ENG_DF_001490_20150709_F00100087:6079-6092	m.07l1c	ORG
New York Times	ENG_NW_001432_20150627_F0010006K:5411-5424	m.07l1c	ORG
Investigatory Powers Tribunal	ENG_DF_000200_20150206_F001000DR:222-250	m.0g9_1tg	ORG
Investigatory Powers Tribunal	ENG_DF_000200_20150206_F001000DR:1961-1989	m.0g9_1tg	ORG
The Islamic State	ENG_NW_001437_20150627_F0010006S:577-593	m.027x630	ORG
the Islamic State	ENG_NW_001437_20150627_F0010006S:927-943	m.027x630	ORG
the Islamic State	ENG_NW_001437_20150627_F0010006S:1445-1461	m.027x630	ORG
the Islamic State	ENG_NW_001437_20150627_F0010006S:2665-2681	m.027x630	ORG
the Islamic State	ENG_NW_001437_20150627_F0010006S:4565-4581	m.027x630	ORG
the Islamic State	ENG_NW_001463_20150413_F0010006Z:2064-2080	m.027x630	ORG
the Islamic State	ENG_NW_001408_20150629_F0010005S:486-502	m.027x630	ORG
the Islamic State	ENG_NW_001400_20150714_F0010005F:1908-1925	m.027x630	ORG
Department of Defense	ENG_NW_001425_20150606_F0010006D:3433-3453	m.07y0n	ORG
Department of Defense	ENG_DF_001206_20150601_F001000CP:8355-8375	m.07y0n	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:2467-2490	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:4891-4914	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:11766-11789	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:14190-14213	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:26635-26658	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:29079-29102	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:34557-34580	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:36981-37004	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:42277-42300	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:44701-44724	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:50364-50387	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:52788-52811	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:63684-63707	m.05htt	ORG
National Security Agency	ENG_DF_001222_20150509_F001000DO:66128-66151	m.05htt	ORG
National Security Agency	ENG_DF_000354_20150531_F001000DQ:660-683	m.05htt	ORG
National Security Agency	ENG_DF_000354_20150531_F001000DQ:7929-7952	m.05htt	ORG
National Security Agency	ENG_DF_001485_20150624_F0010008W:600-623	m.05htt	ORG
National Security Agency	ENG_DF_001485_20150624_F0010008W:1511-1534	m.05htt	ORG
National Security Agency	ENG_NW_001439_20150622_F0010006U:330-353	m.05htt	ORG
National Security Agency	ENG_NW_001381_20150623_F0010004U:391-414	m.05htt	ORG
National Security Agency	ENG_NW_001425_20150606_F0010006D:354-377	m.05htt	ORG
National Security Agency	ENG_DF_001235_20150624_F0010008S:468-491	m.05htt	ORG
National Security Agency	ENG_DF_001228_20150614_F001000DP:1098-1121	m.05htt	ORG
Boston Red Sox	ENG_NW_001041_20150427_F00100063:7797-7810	m.01d5z	ORG
the Associated Press	ENG_NW_001396_20150109_F0010005A:3213-3232	m.0cv_2	ORG
the Associated Press	ENG_NW_001396_20150109_F0010005A:4804-4823	m.0cv_2	ORG
The Associated Press	ENG_NW_001420_20150714_F00100068:615-634	m.0cv_2	ORG
the Associated Press	ENG_NW_001030_20150715_F0010005Q:5725-5744	m.0cv_2	ORG
the Associated Press	ENG_NW_001437_20150426_F0010006R:881-900	m.0cv_2	ORG
The Associated Press	ENG_NW_001377_20150107_F0010004Q:5269-5288	m.0cv_2	ORG
The Associated Press	ENG_NW_001408_20150629_F0010005S:3045-3064	m.0cv_2	ORG
The Associated Press	ENG_NW_001041_20150427_F00100063:8005-8024	m.0cv_2	ORG
Baltimore Police Department	ENG_DF_001476_20150428_F001000D9:14143-14169	m.098sfc	ORG
Baltimore Police Department	ENG_DF_000261_20150428_F00100089:639-665	m.098sfc	ORG
piece of shit	ENG_DF_001469_20150710_F001000CY:7063-7075	m.09k0f	PER
piece of shit	ENG_DF_001469_20150710_F001000CY:8159-8171	m.09k0f	PER
Hillary Rodham Clinton	ENG_NW_001427_20150718_F0010006F:5778-5799	m.0d06m5	PER
German Democratic Republic	ENG_NW_001436_20140731_F0010006P:3888-3913	m.03f2w	GPE
World Health Organization	ENG_NW_001380_20150511_F0010004T:1681-1705	m.0840w	ORG
Internal Revenue Service	ENG_NW_001440_20150709_F0010006V:4459-4482	m.03z19	ORG
New York City	ENG_DF_000261_20150428_F00100089:3916-3928	m.02_286	GPE
New York City	ENG_DF_000261_20150428_F00100089:6535-6547	m.02_286	GPE
New York City	ENG_NW_001379_20150428_F0010004S:1344-1356	m.02_286	GPE
National Security Council	ENG_NW_001431_20150426_F0010006J:333-357	m.0c0bf	ORG
National Security Council	ENG_NW_001430_20150426_F0010006I:752-776	m.0c0bf	ORG
National Security Council	ENG_DF_001485_20150624_F0010008W:925-949	m.0c0bf	ORG
National Security Council	ENG_DF_001485_20150624_F0010008W:1836-1860	m.0c0bf	ORG
National Security Council	ENG_NW_001381_20150623_F0010004U:1566-1590	m.0c0bf	ORG
National Security Council	ENG_NW_001398_20150710_F0010005D:5231-5255	m.0c0bf	ORG
National Security Council	ENG_NW_001398_20150710_F0010005D:11997-12021	m.0c0bf	ORG
the Washington Post	ENG_NW_001429_20150622_F0010006H:1884-1902	m.0px38	ORG
The Washington Post	ENG_NW_001437_20150426_F0010006R:2445-2463	m.0px38	ORG
The Washington Post	ENG_NW_001437_20150426_F0010006R:4857-4875	m.0px38	ORG
the Washington Post	ENG_DF_001228_20150614_F001000DP:5323-5341	m.0px38	ORG
The Washington Post	ENG_NW_001396_20150109_F0010005A:1287-1305	m.0px38	ORG
the Washington Post	ENG_NW_001382_20150619_F0010004V:6782-6800	m.0px38	ORG
the Washington Post	ENG_NW_001432_20150627_F0010006K:7333-7351	m.0px38	ORG
the Washington Post	ENG_DF_001490_20150709_F00100087:5047-5065	m.0px38	ORG
the White House	ENG_NW_001041_20150427_F00100063:1186-1200	m.081sq	FAC
The White House	ENG_NW_001041_20150427_F00100063:1778-1792	m.081sq	FAC
the White House	ENG_NW_001041_20150427_F00100063:2137-2151	m.081sq	FAC
The White House	ENG_NW_001041_20150427_F00100063:5247-5261	m.081sq	FAC
the White House	ENG_NW_001398_20150710_F0010005D:4245-4259	m.081sq	FAC
the White House	ENG_NW_001398_20150710_F0010005D:6749-6763	m.081sq	FAC
The White House	ENG_NW_001398_20150710_F0010005D:10332-10346	m.081sq	FAC
the White House	ENG_NW_001398_20150710_F0010005D:10631-10645	m.081sq	FAC
the White House	ENG_NW_001398_20150710_F0010005D:12173-12187	m.081sq	FAC
the White House	ENG_NW_001398_20150710_F0010005D:13546-13560	m.081sq	FAC
the White House	ENG_NW_001398_20150710_F0010005D:14061-14075	m.081sq	FAC
the White House	ENG_NW_001410_20150615_F0010005V:1876-1890	m.081sq	FAC
the White House	ENG_NW_001410_20150615_F0010005V:8822-8836	m.081sq	FAC
The White House	ENG_NW_001381_20150623_F0010004U:1313-1327	m.081sq	FAC
the White House	ENG_NW_001024_20150107_F0010005O:8075-8089	m.081sq	FAC
the White House	ENG_NW_001418_20150428_F00100065:4321-4335	m.081sq	FAC
the White House	ENG_DF_001499_20130609_F0010008Q:5099-5113	m.081sq	FAC
the White House	ENG_DF_001499_20130609_F0010008Q:5484-5498	m.081sq	FAC
the White House	ENG_DF_001499_20130609_F0010008Q:12948-12962	m.081sq	FAC
the White House	ENG_DF_001499_20130609_F0010008Q:13333-13347	m.081sq	FAC
the White House	ENG_DF_001475_20150425_F001000D8:782-796	m.081sq	FAC
the White House	ENG_DF_001490_20150709_F00100087:11787-11801	m.081sq	FAC
the White House	ENG_DF_001490_20150709_F00100087:17234-17248	m.081sq	FAC
the White House	ENG_DF_001222_20150509_F001000DO:9207-9221	m.081sq	FAC
the White House	ENG_DF_001222_20150509_F001000DO:60434-60448	m.081sq	FAC
Google for Voice	ENG_DF_001222_20150509_F001000DO:5160-5175	m.02q0knk	ORG
Google for Voice	ENG_DF_001222_20150509_F001000DO:14459-14474	m.02q0knk	ORG
Google for Voice	ENG_DF_001222_20150509_F001000DO:29348-29363	m.02q0knk	ORG
Google for Voice	ENG_DF_001222_20150509_F001000DO:37814-37829	m.02q0knk	ORG
Google for Voice	ENG_DF_001222_20150509_F001000DO:66397-66412	m.02q0knk	ORG
American Enterprise Institute	ENG_DF_001206_20150709_F001000CO:8929-8957	m.0p8q4	ORG
John Walker Lindh	ENG_DF_001220_20150621_F00100088:382-398	m.0469p	PER
Secretary of State	ENG_DF_000170_20150219_F0010008Z:1270-1287	m.0d06m5	PER
Secretary of State	ENG_DF_000170_20150219_F0010008Z:1858-1875	m.0d06m5	PER
Secretary of State	ENG_DF_000170_20150219_F0010008Z:3295-3312	m.0d06m5	PER
Secretary of State	ENG_DF_000170_20150219_F0010008Z:5557-5574	m.0d06m5	PER
Secretary of State	ENG_DF_000170_20150219_F0010008Z:7214-7231	m.0d06m5	PER
Secretary of State	ENG_DF_000170_20150219_F0010008Z:8874-8891	m.0d06m5	PER
secretary of state	ENG_DF_001501_20150623_F0010008Y:3372-3389	m.0d06m5	PER
secretary of state	ENG_NW_001436_20150718_F0010006Q:4527-4544	m.0d06m5	PER
Secretary of State	ENG_DF_001220_20150621_F00100088:16172-16189	m.0d06m5	PER
World Wild Fund	ENG_NW_001436_20140731_F0010006P:3453-3467	m.0829b	ORG
the state department	ENG_DF_001478_20140226_F001000DB:1214-1233	m.07vsl	ORG
Red Army Faction	ENG_DF_001220_20150621_F00100088:545-560	m.06gt7	ORG
Federal Election Commission	ENG_NW_001389_20150713_F00100052:2356-2382	m.01jlfh	ORG
Columbiana Centre mall	ENG_NW_001420_20150714_F00100068:3240-3261	NIL	FAC
Columbiana Centre mall	ENG_NW_001432_20150627_F0010006K:12165-12186	NIL	FAC
US State Department	ENG_NW_001387_20150626_F00100050:2001-2019	m.07vsl	ORG
District of Columbia	ENG_NW_001379_20150428_F0010004S:712-731	m.0rh6k	GPE
European Central Bank	ENG_NW_001407_20150715_F0010005R:1247-1267	m.02l6_	ORG
European Central Bank	ENG_NW_001407_20150715_F0010005R:2708-2728	m.02l6_	ORG
European Central Bank	ENG_NW_001404_20150717_F0010005K:1360-1380	m.02l6_	ORG
European Central Bank	ENG_NW_001395_20150717_F00100058:2188-2208	m.02l6_	ORG
European Central Bank	ENG_NW_001388_20150706_F00100051:881-901	m.02l6_	ORG
European Central Bank	ENG_NW_001436_20140731_F0010006P:1337-1357	m.02l6_	ORG
Wall Street Journal	ENG_NW_001462_20150618_F0010006X:1911-1929	m.017b3j	ORG
Wall Street Journal	ENG_DF_001481_20150708_F001000DJ:8427-8445	m.017b3j	ORG
Wall Street Journal	ENG_DF_001474_20150527_F001000D7:5317-5335	m.017b3j	ORG
Wall Street Journal	ENG_NW_001415_20150714_F00100061:5828-5846	m.017b3j	ORG
Wall Street Journal	ENG_DF_001490_20150709_F00100087:4093-4111	m.017b3j	ORG
Arabian Peninsula	ENG_NW_001022_20150108_F0010005M:698-714	m.0cvmv	LOC
Arabian Peninsula	ENG_NW_001396_20150109_F0010005A:4472-4488	m.0cvmv	LOC
Dylann Roof	ENG_NW_001462_20150618_F0010006X:283-293	NIL	PER
Dylann Roof	ENG_NW_001462_20150618_F0010006X:373-383	NIL	PER
Dylann Roof	ENG_NW_001462_20150618_F0010006X:1263-1273	NIL	PER
Dylann Roof	ENG_NW_001432_20150622_F0010006L:374-384	NIL	PER
Dylann Roof	ENG_NW_001432_20150622_F0010006L:943-953	NIL	PER
Dylann Roof	ENG_NW_001432_20150622_F0010006L:1741-1751	NIL	PER
Dylann Roof	ENG_NW_001432_20150622_F0010006L:1906-1916	NIL	PER
Dylann Roof	ENG_NW_001432_20150622_F0010006L:3996-4006	NIL	PER
Dylann Roof	ENG_NW_001432_20150622_F0010006L:4059-4069	NIL	PER
Dylann Roof	ENG_DF_001466_20150714_F001000CM:138-148	NIL	PER
Dylann Roof	ENG_DF_001466_20150714_F001000CM:257-267	NIL	PER
Dylann Roof	ENG_DF_001466_20150714_F001000CM:379-389	NIL	PER
Dylann Roof	ENG_DF_001466_20150714_F001000CM:3664-3674	NIL	PER
Dylann Roof	ENG_DF_001466_20150714_F001000CM:4386-4396	NIL	PER
Dylann Roof	ENG_NW_001433_20150716_F0010006M:253-263	NIL	PER
Dylann Roof	ENG_NW_001433_20150716_F0010006M:534-544	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:121-131	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:1467-1477	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:2929-2939	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:5687-5697	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:7289-7299	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:8884-8894	NIL	PER
Dylann Roof	ENG_DF_000261_20150620_F0010008K:10261-10271	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:210-220	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:287-297	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:479-489	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:760-770	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:2343-2353	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:7471-7481	NIL	PER
Dylann Roof	ENG_NW_001432_20150627_F0010006K:9031-9041	NIL	PER
Dylann Roof	ENG_NW_001393_20150702_F00100056:1842-1852	NIL	PER
Dylann Roof	ENG_NW_001382_20150619_F0010004V:235-245	NIL	PER
Dylann Roof	ENG_NW_001382_20150619_F0010004V:331-341	NIL	PER
Dylann Roof	ENG_NW_001382_20150619_F0010004V:6622-6632	NIL	PER
Dylann Roof	ENG_NW_001390_20150627_F00100053:285-295	NIL	PER
Dylann Roof	ENG_NW_001390_20150627_F00100053:1663-1673	NIL	PER
Dylann Roof	ENG_DF_001485_20150710_F0010008J:94-104	NIL	PER
Dylann Roof	ENG_NW_001420_20150714_F00100068:500-510	NIL	PER
Dylann Roof	ENG_NW_001417_20150622_F00100071:4465-4475	NIL	PER
Dylann Roof	ENG_NW_001417_20150622_F00100071:6334-6344	NIL	PER
Dylann Roof	ENG_DF_001469_20150710_F001000CY:126-136	NIL	PER
Dylann Roof	ENG_DF_001469_20150710_F001000CY:235-245	NIL	PER
Dylann Roof	ENG_DF_001469_20150710_F001000CY:2717-2727	NIL	PER
Dylann Roof	ENG_DF_001468_20150710_F001000CR:136-146	NIL	PER
Dylann Roof	ENG_DF_001468_20150710_F001000CR:266-276	NIL	PER
Dylann Roof	ENG_DF_001468_20150710_F001000CR:17066-17076	NIL	PER
Dylann Roof	ENG_DF_001206_20150624_F001000CN:9294-9304	NIL	PER
Kevin Davis	ENG_DF_001477_20150709_F001000DA:5567-5577	NIL	PER
Kevin Davis	ENG_DF_001477_20150709_F001000DA:6076-6086	NIL	PER
Kevin Davis	ENG_NW_001437_20150426_F0010006R:5050-5060	NIL	PER
National Guard	ENG_NW_001379_20150428_F0010004S:454-467	m.09gs3	ORG
National Guard	ENG_NW_001379_20150428_F0010004S:738-751	m.09gs3	ORG
National Guard	ENG_NW_001379_20150428_F0010004S:2008-2021	m.09gs3	ORG
national guard	ENG_DF_001491_20150427_F0010008A:955-968	m.09gs3	ORG
National guard	ENG_DF_001491_20150427_F0010008A:1756-1769	m.09gs3	ORG
National Guard	ENG_DF_001491_20150427_F0010008A:4151-4164	m.09gs3	ORG
